Activo,MAE_global,RMSE_global,MAE_baja_vol,MAE_alta_vol
EURUSD,0.003478,0.004754,0.002965,0.004142
GBPUSD,0.003576,0.004601,0.003428,0.004381
USDJPY,0.005065,0.006676,0.003967,0.00604
BTC,0.017241,0.024409,0.016315,0.027258
ETH,0.026938,0.038192,0.025395,0.033984
