Activo,MAE_global,RMSE_global,MAE_baja_vol,MAE_alta_vol
EURUSD,0.003465,0.004739,0.002935,0.004344
GBPUSD,0.00354,0.004586,0.003393,0.004742
USDJPY,0.004976,0.006499,0.003731,0.005813
BTC,0.017641,0.025077,0.016116,0.026649
ETH,0.027143,0.038729,0.025075,0.033373
