Activo,MAE_global,RMSE_global,MAE_baja_vol,MAE_alta_vol
EURUSD,0.003528,0.004798,0.002973,0.004246
GBPUSD,0.003659,0.004697,0.003515,0.004445
USDJPY,0.004976,0.006474,0.004018,0.005827
BTC,0.01789,0.025045,0.016973,0.027809
ETH,0.028034,0.03869,0.026174,0.036527
