Activo,MAE_global,RMSE_global,MAE_baja_vol,MAE_alta_vol
EURUSD,0.003445,0.004747,0.002907,0.004186
GBPUSD,0.003539,0.004588,0.003387,0.004445
USDJPY,0.005016,0.006572,0.003961,0.005881
BTC,0.017387,0.024938,0.015966,0.029601
ETH,0.027167,0.038829,0.02476,0.036924
