Price,GBPUSD
Ticker,GBPUSD=X
Date,
2018-01-01,1.351607084274292
2018-01-02,1.3511322736740112
2018-01-03,1.359619379043579
2018-01-04,1.3511322736740112
2018-01-05,1.3552889823913574
2018-01-08,1.3575890064239502
2018-01-09,1.3571282625198364
2018-01-10,1.353234887123108
2018-01-11,1.351278305053711
2018-01-12,1.3541878461837769
2018-01-15,1.3733056783676147
2018-01-16,1.379824161529541
2018-01-17,1.3798813819885254
2018-01-18,1.382800817489624
2018-01-19,1.3894678354263306
2018-01-22,1.3891589641571045
2018-01-23,1.3984841108322144
2018-01-24,1.401738166809082
2018-01-25,1.4220906496047974
2018-01-26,1.4150274991989136
2018-01-29,1.4149274826049805
2018-01-30,1.4076577425003052
2018-01-31,1.4155884981155396
2018-02-01,1.420051097869873
2018-02-02,1.4266760349273682
2018-02-05,1.411133885383606
2018-02-06,1.3943694829940796
2018-02-07,1.395868182182312
2018-02-08,1.3879250288009644
2018-02-09,1.3934950828552246
2018-02-12,1.3827433586120605
2018-02-13,1.3852334022521973
2018-02-14,1.3886960744857788
2018-02-15,1.401581048965454
2018-02-16,1.4104173183441162
2018-02-19,1.4031543731689453
2018-02-20,1.3992668390274048
2018-02-21,1.4001091718673706
2018-02-22,1.3910139799118042
2018-02-23,1.3953033685684204
2018-02-26,1.3968042135238647
2018-02-27,1.3966480493545532
2018-02-28,1.3906078338623047
2018-03-01,1.375421166419983
2018-03-02,1.377543330192566
2018-03-05,1.3795006275177002
2018-03-06,1.3852334022521973
2018-03-07,1.390008568763733
2018-03-08,1.390627145767212
2018-03-09,1.3805670738220215
2018-03-12,1.38554048538208
2018-03-13,1.3907625675201416
2018-03-14,1.397233486175537
2018-03-15,1.3971552848815918
2018-03-16,1.3938642740249634
2018-03-19,1.3943500518798828
2018-03-20,1.4025245904922485
2018-03-21,1.4004818201065063
2018-03-22,1.414627194404602
2018-03-23,1.4114724397659302
2018-03-26,1.4147672653198242
2018-03-27,1.423892855644226
2018-03-28,1.417635440826416
2018-03-29,1.4080342054367065
2018-03-30,1.4029377698898315
2018-04-02,1.403823971748352
2018-04-03,1.4046719074249268
2018-04-04,1.4068654775619507
