Date,Close,Retorno,Volatilidad_20d,Regimen
2018-01-01,772.6409912109375,,,
2018-01-02,884.4439697265625,0.14470236473009224,,
2018-01-03,962.719970703125,0.08850306368278194,,
2018-01-04,980.9219970703125,0.018906875229661724,,
2018-01-05,997.719970703125,0.017124678295504125,,
2018-01-06,1041.6800537109375,0.04406054233517298,,
2018-01-07,1153.1700439453125,0.10702901513492269,,
2018-01-08,1148.530029296875,-0.004023703765806075,,
2018-01-09,1299.739990234375,0.13165520890217386,,
2018-01-10,1255.8199462890625,-0.033791407724088396,,
2018-01-11,1154.9300537109375,-0.08033786441778834,,
2018-01-12,1273.199951171875,0.10240438118388306,,
2018-01-13,1396.4200439453125,0.09677984409284934,,
2018-01-14,1366.77001953125,-0.021232883717632767,,
2018-01-15,1291.9200439453125,-0.05476413333357155,,
2018-01-16,1053.68994140625,-0.1844000359430501,,
2018-01-17,1014.25,-0.037430310242511755,,
2018-01-18,1036.280029296875,0.02172051200086278,,
2018-01-19,1039.0999755859375,0.002721220335564878,,
2018-01-20,1155.1500244140625,0.11168323698851568,,
2018-01-21,1049.5799560546875,-0.09139078572320014,1.3653783824746453,Alta
2018-01-22,1003.260009765625,-0.04413188916371513,1.2976443062936522,Alta
2018-01-23,986.22900390625,-0.01697566502561354,1.266163355386095,Alta
2018-01-24,1058.780029296875,0.07356407599377568,1.2891925162347733,Alta
2018-01-25,1056.030029296875,-0.002597328929434206,1.289041647194087,Alta
2018-01-26,1055.1700439453125,-0.0008143569100351744,1.2812993388794158,Alta
2018-01-27,1107.0699462890625,0.04918629242893857,1.2350989465371558,Alta
2018-01-28,1246.010009765625,0.1255025158458094,1.3114774770154585,Alta
2018-01-29,1182.3599853515625,-0.051083076311750575,1.2402659884614573,Alta
2018-01-30,1071.1300048828125,-0.09407454738556376,1.2787708654108372,Alta
2018-01-31,1118.31005859375,0.04404699102430554,1.2573414866151613,Alta
2018-02-01,1036.7900390625,-0.07289572234891606,1.2241716370093536,Alta
2018-02-02,915.7849731445312,-0.11671125431276863,1.2179083653179104,Alta
2018-02-03,964.0189819335938,0.052669578780531134,1.2432966515315198,Alta
2018-02-04,834.6820068359375,-0.13416434481221196,1.3078336613626005,Alta
2018-02-05,697.9509887695312,-0.16381210682223524,1.2747733448090255,Alta
2018-02-06,793.1220092773438,0.13635774150215973,1.3829542776503703,Alta
2018-02-07,757.0679931640625,-0.04545834775929625,1.384003727183728,Alta
2018-02-08,817.8070068359375,0.08022927163784144,1.4217105543965243,Alta
2018-02-09,883.864990234375,0.08077453830337444,1.391091323671536,Alta
2018-02-10,860.4149780273438,-0.02653121513593726,1.359191442638392,Alta
2018-02-11,814.6599731445312,-0.0531778340118092,1.3629010872951235,Alta
2018-02-12,868.7069702148438,0.06634301285442423,1.3865334795992665,Alta
2018-02-13,845.2579956054688,-0.026992962429639222,1.358909826560519,Alta
2018-02-14,923.5609741210938,0.0926379625188114,1.4048860558175171,Alta
2018-02-15,936.9760131835938,0.01452534206013456,1.4062424030916931,Alta
2018-02-16,944.2100219726562,0.007720591228886686,1.3938207186306417,Alta
2018-02-17,974.114990234375,0.03167194539964835,1.3156102190964423,Alta
2018-02-18,923.9210205078125,-0.05152776646470214,1.3158002796802626,Alta
2018-02-19,943.864990234375,0.02158622791762088,1.2800868318763432,Alta
2018-02-20,895.3709716796875,-0.051378130406813494,1.2782509823502926,Alta
2018-02-21,849.9710083007812,-0.05070519909053717,1.2656521519876376,Alta
2018-02-22,812.844970703125,-0.043679181095690245,1.2067088633890386,Alta
2018-02-23,864.1890258789062,0.06316586437308924,1.2137029823395593,Alta
2018-02-24,840.5150146484375,-0.02739448259759092,1.1154161412434156,Alta
2018-02-25,844.8099975585938,0.0051099419228730625,0.9260073246333927,Alta
2018-02-26,869.3150024414062,0.029006528040185664,0.8038590808551908,Alta
2018-02-27,878.2650146484375,0.010295476532552472,0.7807391649461528,Alta
2018-02-28,855.198974609375,-0.02626318896272517,0.7416592316052838,Alta
2018-03-01,872.2000122070312,0.019879628136155958,0.6867095453447903,Baja
2018-03-02,856.85302734375,-0.017595717322276716,0.6828151778750187,Baja
2018-03-03,857.2249755859375,0.0004340863955869523,0.6525992246687199,Baja
2018-03-04,866.677978515625,0.01102744693506641,0.6099154406359342,Baja
2018-03-05,853.6840209960938,-0.014992832218705066,0.6041816635740727,Baja
2018-03-06,816.9509887695312,-0.04302883891829412,0.5174915455539726,Baja
2018-03-07,752.8309936523438,-0.07848695454027577,0.5719540595734471,Baja
2018-03-08,704.5960083007812,-0.06407146591767099,0.5981935894465955,Baja
2018-03-09,728.916015625,0.03451624340431536,0.6011421439132967,Baja
2018-03-10,686.8900146484375,-0.057655477552551515,0.606624181888991,Baja
2018-03-11,723.3389892578125,0.05306377124732298,0.6404693092245484,Baja
2018-03-12,699.8309936523438,-0.03249927897511695,0.6286420603632961,Baja
2018-03-13,690.8270263671875,-0.012865916723930004,0.6114520594158435,Baja
2018-03-14,614.291015625,-0.11078896427179907,0.7009168209904576,Baja
2018-03-15,611.3040161132812,-0.004862515380726684,0.6420499446087491,Baja
2018-03-16,601.666015625,-0.015766296694008974,0.6407244292406141,Baja
2018-03-17,552.7789916992188,-0.08125275926545106,0.6757625584588686,Baja
2018-03-18,538.6439819335938,-0.025570815783310774,0.6504613235350742,Baja
2018-03-19,556.7260131835938,0.033569541026134075,0.6710979104606424,Baja
2018-03-20,557.1749877929688,0.0008064552378423961,0.6755000119215797,Baja
2018-03-21,561.7319946289062,0.008178771365865423,0.6674969451913509,Baja
2018-03-22,539.7020263671875,-0.03921793394779349,0.6704865957027722,Baja
2018-03-23,539.6190185546875,-0.00015380304027901026,0.6702292134917976,Baja
2018-03-24,526.4390258789062,-0.024424625935317246,0.658772827348543,Baja
2018-03-25,524.2869873046875,-0.004087916108852063,0.6618311277755904,Baja
2018-03-26,489.95098876953125,-0.06549084636197922,0.6754069379306602,Baja
2018-03-27,450.1159973144531,-0.08130403319548385,0.6784686981436262,Baja
2018-03-28,446.27899169921875,-0.008524481773869996,0.6639885684844814,Baja
2018-03-29,385.9679870605469,-0.1351419308559343,0.7419484605837094,Alta
2018-03-30,394.6449890136719,0.022481144146713428,0.7569934647015494,Alta
2018-03-31,396.4570007324219,0.004591498103849512,0.7076273274901234,Baja
2018-04-01,379.60699462890625,-0.04250147196893139,0.7092441339804447,Baja
2018-04-02,386.42498779296875,0.017960662634068703,0.7268349006086676,Baja
2018-04-03,416.89300537109375,0.07884587834793066,0.750206647611789,Alta
2018-04-04,380.5429992675781,-0.08719265047673075,0.7869695827962304,Alta
2018-04-05,383.23199462890625,0.007066206359080507,0.7935945886525217,Alta
2018-04-06,370.2850036621094,-0.03378369016223137,0.76315194338194,Alta
2018-04-07,385.3139953613281,0.040587632635895154,0.790874939697923,Alta
2018-04-08,400.50799560546875,0.0394327754170789,0.7959462945878165,Alta
